Bird_ID,Treatment,GrpSize,SOD_final,MDA_final,mass_final
expt155,Eggs_removed,2,121.94,2.18,45.67
expt156,Eggs_removed,5,160.2,4.08,42.44
expt157,Eggs_removed,5,135.16,3.66,43.43
expt158,Eggs_left,6,337.2,2.73,41.03
expt159,Eggs_left,6,378.99,2.92,48.28
expt160,Eggs_left,6,233.27,3.97,43.49
expt161,Eggs_left,5,373.53,4,45.97
expt162,Eggs_left,5,357.02,NA,41.42
expt163,Eggs_left,5,350.31,3.38,41.44
expt164,Eggs_removed,4,175.61,2.1,47.23
expt165,Eggs_removed,2,236.48,3.34,48.84
expt166,Eggs_removed,3,174.16,2.56,47.89
expt167,Eggs_removed,8,230.38,3.71,42.55
expt168,Eggs_removed,8,243.75,3.67,46.02
expt169,Eggs_removed,5,180.87,2.8,46.03
expt170,Eggs_removed,5,186.84,3.53,45.3
expt171,Eggs_left,4,NA,3.63,38.8
expt172,Eggs_left,3,203.17,3.46,44.53
expt173,Eggs_left,2,238.97,3.62,43.12
expt174,Eggs_left,7,171.5,2.74,38.93
expt175,Eggs_left,5,249.8,3.79,47.51
expt176,Eggs_left,5,207.64,2.83,43.78
expt177,Eggs_left,5,428.35,2.95,49.35
expt178,Eggs_left,5,445.31,3.35,44.56
expt179,Eggs_left,7,193.02,2.38,48.18
expt180,Eggs_left,7,149.52,2.25,43.43
expt181,Eggs_left,7,166.13,2.41,49.78
expt182,Eggs_left,3,143.57,3.2,44.9
expt183,Eggs_left,3,167.04,3.12,42.27
expt184,Eggs_left,6,152.32,2.71,49.53
expt185,Eggs_left,6,127.2,2.59,41.57
expt186,Eggs_left,6,150.36,5.57,41.27
expt187,Eggs_left,6,132.91,2.92,48.94
expt188,Eggs_left,5,NA,NA,47.76
